Model,MT-bench (score),Arena Elo rating,MMLU,License,Link
Guanaco-33B,6.53,1021,0.576,Non-commercial,https://huggingface.co/timdettmers/guanaco-33b-merged
Llama-2-13b-chat,6.65,1021,0.536,Llama 2 Community,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf
Mistral-7B-Instruct-v0.1,6.84,1008,0.554,Apache 2.0,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1
Llama-2-7b-chat,6.27,1001,0.458,Llama 2 Community,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf
Vicuna-7B,6.17,994,0.498,Llama 2 Community,https://huggingface.co/lmsys/vicuna-7b-v1.5
PaLM-Chat-Bison-001,6.40,991,-,Proprietary,https://cloud.google.com/vertex-ai/docs/generative-ai/learn/models#foundation_models
Koala-13B,5.35,955,0.447,Non-commercial,https://bair.berkeley.edu/blog/2023/04/03/koala/
ChatGLM3-6B,-,970,-,Apache-2.0,https://huggingface.co/THUDM/chatglm3-6b
GPT4All-13B-Snoozy,5.41,925,0.430,Non-commercial,https://huggingface.co/nomic-ai/gpt4all-13b-snoozy
MPT-7B-Chat,5.42,918,0.320,CC-BY-NC-SA-4.0,https://huggingface.co/mosaicml/mpt-7b-chat
ChatGLM2-6B,4.96,918,0.455,Apache-2.0,https://huggingface.co/THUDM/chatglm2-6b
RWKV-4-Raven-14B,3.98,915,0.256,Apache 2.0,https://huggingface.co/BlinkDL/rwkv-4-raven
Alpaca-13B,4.53,893,0.481,Non-commercial,https://crfm.stanford.edu/2023/03/13/alpaca.html
OpenAssistant-Pythia-12B,4.32,884,0.270,Apache 2.0,https://huggingface.co/OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5
ChatGLM-6B,4.50,871,0.361,Non-commercial,https://huggingface.co/THUDM/chatglm-6b
FastChat-T5-3B,3.04,863,0.477,Apache 2.0,https://huggingface.co/lmsys/fastchat-t5-3b-v1.0
StableLM-Tuned-Alpha-7B,2.75,833,0.244,CC-BY-NC-SA-4.0,https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b
Dolly-V2-12B,3.28,810,0.257,MIT,https://huggingface.co/databricks/dolly-v2-12b
LLaMA-13B,2.61,789,0.470,Non-commercial,https://arxiv.org/abs/2302.13971
