Model,MT-bench (score),Arena Elo rating,MMLU,License,Link
Llama-2-70b-chat,6.86,1069,0.630,Llama 2 Community,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf
WizardLM-13b-v1.2,7.20,1053,0.527,Llama 2 Community,https://huggingface.co/WizardLM/WizardLM-13B-V1.2
Zephyr-7b-beta,7.34,1045,0.614,MIT,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta
MPT-30B-chat,6.39,1039,0.504,CC-BY-NC-SA-4.0,https://huggingface.co/mosaicml/mpt-30b-chat
Vicuna-13B,6.57,1039,0.558,Llama 2 Community,https://huggingface.co/lmsys/vicuna-13b-v1.5
QWen-Chat-14B,6.96,1039,0.665,Qianwen LICENSE,https://huggingface.co/Qwen/Qwen-14B-Chat
Zephyr-7b-alpha,6.88,1034,-,MIT,https://huggingface.co/HuggingFaceH4/zephyr-7b-alpha
CodeLlama-34B-instruct,-,1032,0.537,Llama 2 Community,https://huggingface.co/codellama/CodeLlama-34b-Instruct-hf
falcon-180b-chat,-,1031,0.680,Falcon-180B TII License,https://huggingface.co/tiiuae/falcon-180B-chat
Guanaco-33B,6.53,1029,0.576,Non-commercial,https://huggingface.co/timdettmers/guanaco-33b-merged
Llama-2-13b-chat,6.65,1027,0.536,Llama 2 Community,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf
Mistral-7B-Instruct-v0.1,6.84,1018,0.554,Apache 2.0,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1
pplx-7b-online,-,1017,-,Proprietary,https://blog.perplexity.ai/blog/introducing-pplx-online-llms
Llama-2-7b-chat,6.27,1009,0.458,Llama 2 Community,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf
Vicuna-7B,6.17,1002,0.498,Llama 2 Community,https://huggingface.co/lmsys/vicuna-7b-v1.5
PaLM-Chat-Bison-001,6.40,1000,-,Proprietary,https://cloud.google.com/vertex-ai/docs/generative-ai/learn/models#foundation_models
Koala-13B,5.35,966,0.447,Non-commercial,https://bair.berkeley.edu/blog/2023/04/03/koala/
ChatGLM3-6B,-,958,-,Apache-2.0,https://huggingface.co/THUDM/chatglm3-6b
GPT4All-13B-Snoozy,5.41,936,0.430,Non-commercial,https://huggingface.co/nomic-ai/gpt4all-13b-snoozy
MPT-7B-Chat,5.42,930,0.320,CC-BY-NC-SA-4.0,https://huggingface.co/mosaicml/mpt-7b-chat
ChatGLM2-6B,4.96,924,0.455,Apache-2.0,https://huggingface.co/THUDM/chatglm2-6b
RWKV-4-Raven-14B,3.98,924,0.256,Apache 2.0,https://huggingface.co/BlinkDL/rwkv-4-raven
Alpaca-13B,4.53,904,0.481,Non-commercial,https://crfm.stanford.edu/2023/03/13/alpaca.html
OpenAssistant-Pythia-12B,4.32,896,0.270,Apache 2.0,https://huggingface.co/OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5
ChatGLM-6B,4.50,882,0.361,Non-commercial,https://huggingface.co/THUDM/chatglm-6b
FastChat-T5-3B,3.04,873,0.477,Apache 2.0,https://huggingface.co/lmsys/fastchat-t5-3b-v1.0
StableLM-Tuned-Alpha-7B,2.75,845,0.244,CC-BY-NC-SA-4.0,https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b
Dolly-V2-12B,3.28,822,0.257,MIT,https://huggingface.co/databricks/dolly-v2-12b
LLaMA-13B,2.61,800,0.470,Non-commercial,https://arxiv.org/abs/2302.13971
